bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
72,0.020338123233159183,-1.930183206579123,-1.9450052550021628,16.558419877186203,1.7363714541462905,0.05201600117622932,0.045222336190300604,0.025739956856995674,0.9989775062727311,0.9979560580388844
73,0.01623561146225443,-1.9423524542342208,-1.9459142394462148,4.3891722220883445,0.827387010094327,0.03121255967028827,0.031119146479882648,0.00277130438602471,0.9995158016317289,0.9990318377115177
74,0.014331403358156978,-1.9403905817187919,-1.9458498542936178,6.351044737517242,0.8917721626913178,0.03804250655735894,0.03655732192074999,0.010992718771987221,0.9993318674744751,0.9986641813500219
75,0.02204747729182756,-1.9380512218732562,-1.944232076928227,8.690404583052924,2.5095495280820224,0.0587971117746392,0.056959289648389325,0.015953741316694317,0.9983780891452176,0.9967588088852561
76,0.010140858579006972,-1.9608436901000885,-1.9464850649021408,-14.102063643779417,0.25656155416831083,0.020434415480050434,0.017583495200761884,0.010321985770674237,0.9998454105865865,0.9996908450710598
77,0.012368048133797004,-1.9418675309096336,-1.9451213875971003,4.874095546675505,1.6202388592088113,0.04734918743000429,0.045031222565805634,0.014805983587725613,0.9989861819952244,0.9979733918173955
78,0.019890218255519947,-1.9570931514291858,-1.944750372943188,-10.351524972876724,1.9912535131210163,0.05277325368571884,0.05058161132156223,0.01398362656824047,0.9987207903175633,0.9974432170125384
79,0.021427528088129956,-1.9296977397878827,-1.9444432720369107,17.043886668426378,2.2983544193984073,0.056400531993076694,0.05226946960404514,0.021589882306302627,0.9986339518087973,0.9972697697052554
80,0.016887981339702283,-1.9651932855888419,-1.946143083675265,-18.45165913253277,0.598542781044209,0.03499555269572901,0.03094361848884367,0.01614679767012635,0.9995212462374091,0.9990427216799834
81,0.022183300164923113,-1.9216790529166652,-1.9456081127028326,25.062573539643918,1.1335137534764783,0.04600014828098646,0.04241946264908628,0.018691653438099032,0.9991003675115835,0.9982015443617812
82,0.017266330729342798,-1.9625931454848031,-1.9462869738116415,-15.851519028494021,0.4546526446675969,0.03261883182365285,0.028209945330793355,0.016207206059342946,0.9996021241436207,0.9992044065924385
83,0.018956875508474455,-1.9425191061620877,-1.9461408984840063,4.222520294221432,0.6007279723028169,0.03175031914607572,0.03169516429500639,0.002476113941239299,0.9994977159712064,0.9989956842316584
84,0.0215430318165956,-1.9404070781681602,-1.9456160160942788,6.3345482881489446,1.1256103620302937,0.04930600414281961,0.03558468592972285,0.03357473475695679,0.9993669290524964,0.9987342588838173
85,0.022160993834244816,-1.9681757093589096,-1.9443392336545726,-21.434082902600515,2.402392801736486,0.06404961496328812,0.0611376905677242,0.01712253696886072,0.9981312187592215,0.9962659298617689
86,0.01688462736750202,-1.922849385594888,-1.946524095697055,23.892240861421055,0.21753075925401433,0.0340823323096835,0.018064065853627454,0.02849521066775955,0.9998368453537035,0.9996737173268457
87,0.020422306720998346,-1.9560803393475517,-1.946104307263267,-9.338712891242551,0.6373191930419964,0.03571455399162314,0.03161472913737004,0.016165711490682994,0.9995002702952369,0.9990007903202517
88,0.0211113049858474,-1.9718137751954161,-1.9452558193083724,-25.072148739107014,1.4858071479366686,0.05671837873191095,0.05297478241977747,0.019032384276542934,0.9985968365564344,0.9971956419805181
89,0.024437450290021083,-1.9484589144563473,-1.9452386948436853,-1.7172880000382307,1.5029316126238257,0.05951182740844221,0.05076811288056563,0.03132400137274932,0.9987115626178994,0.9974247853066864
90,0.030108322321055064,-1.9020249985566398,-1.9463766711955708,44.71662789966935,0.36495526073831996,0.0377012630286893,0.022506427070940433,0.030000977388245177,0.9997467319078616,0.9994935279604497
91,0.022115238835961958,-1.9552378381730902,-1.9459415238822573,-8.496211716781055,0.8001025740518308,0.03768532238314209,0.03353105974549325,0.017124530015448575,0.9994379082955877,0.9988761325382595
92,0.027784636728908713,-1.95151165391176,-1.9446204532550253,-4.770027455450965,2.121173201283799,0.06287151836158823,0.05737755112562242,0.025443565910658023,0.9983539108968932,0.9967105314031217
93,0.018651159834936072,-1.9739030604773486,-1.9457822848335538,-27.161434021039543,0.9593416227553497,0.040119738992910756,0.03400122620667247,0.020888268046920476,0.9994219662882948,0.9988442666995615
94,0.02111886723368735,-1.937950985740738,-1.9446135763990748,8.790640715571119,2.1280500572342653,0.0567708805882485,0.05491040857572379,0.014846685025621026,0.9984929437002935,0.9969881586192775
95,0.021821036247145306,-1.9497653691697245,-1.9426170143157602,-3.0237427134154338,4.124612140548933,0.07235483856226918,0.07060257341528034,0.01576875515061349,0.9975077557154446,0.995021722712463
96,0.020249533369301742,-1.9372469602443687,-1.9462416467500232,9.494666211940395,0.4999797062859024,0.0334675899078942,0.027267021576825763,0.019580995895255204,0.9996282547672454,0.9992566477290088
97,0.017269956478767765,-1.9347826292860442,-1.946272648656352,11.95899717026494,0.4689777999571376,0.02766663531185513,0.026165388557016278,0.009304818644122002,0.999657702972639,0.9993155231125329
98,0.014011577779386728,-1.9549041628698889,-1.9465250648275434,-8.16253641357978,0.21656162876571017,0.024461233730595635,0.01726028467205034,0.017326807560828997,0.9998510424947848,0.9997021071779081
99,0.020064869104284046,-1.9503951128712564,-1.9457829054184337,-3.653486414947338,0.9587210378754207,0.03903037217056289,0.03820796098785576,0.007715648968168515,0.9992701596861371,0.9985408520391579
100,0.021050659357659856,-1.9291037562937345,-1.9450301393916922,17.637870162574565,1.711487064616879,0.047596034462680355,0.046294701749489214,0.011977384522507361,0.9989284172027891,0.9978579826952696
101,0.02053637988310307,-1.9592759981985333,-1.9465342472099147,-12.53437174222416,0.2073792463943569,0.022910073930830166,0.016414408762618193,0.01612300152732111,0.9998652857774837,0.9997305897028891
102,0.016540603359110832,-1.930828773326925,-1.9462327216205908,15.912853129384175,0.5089048357183046,0.028230947609777467,0.02525450189964115,0.012806151412504825,0.9996811179611921,0.9993623376081389
103,0.01478034531133965,-1.9525130676899665,-1.9464685355590425,-5.7714412336573595,0.2730908972665702,0.02189431858226717,0.01893599125704674,0.010911799771348488,0.9998207161412626,0.9996414644252272
104,0.025191517936662036,-1.944021916841289,-1.9457379546363154,2.719709615019994,1.0036718199937233,0.04152470924768395,0.03871131409576349,0.015722883967326077,0.9992507430947055,0.9985020475753211
105,0.016648352323482555,-1.9474331198049801,-1.9458227807570563,-0.691493348671024,0.9188456992528238,0.037785257181456526,0.0360885076923944,0.011397204920505768,0.9993488340461828,0.998698092109465
106,0.015036379883080835,-1.9550839759298297,-1.9460586211368966,-8.342349473520638,0.6830053194124552,0.03379203385150005,0.031014134652690435,0.013060311491308362,0.9995190671739399,0.999038365644263
107,0.015476061990663844,-1.9534407207152358,-1.9462965058020962,-6.699094258926674,0.4451206542128716,0.03010982400030968,0.026027010030352217,0.01524265984826792,0.9996613177818777,0.9993227502694003
108,0.02665350131432174,-1.9446281766223412,-1.944645025102801,2.113449833967884,2.0966013535081984,0.059522177000063126,0.05740167220228473,0.017248881275317547,0.9983525242147364,0.9967077626059359
109,0.01928071926707107,-1.9661318844025606,-1.9458876597290697,-19.390257946251488,0.8539667272393636,0.044560192310891186,0.0407528611279453,0.017238627301789416,0.9991696502525383,0.9983399899857798
110,0.017146231340778844,-1.934111241722375,-1.946288302253781,12.630384733934186,0.4533242025281936,0.03309435779832937,0.028318295074198006,0.017234706619203007,0.9995990372381705,0.9991982352474773
111,0.017597826762437634,-1.9476535012995646,-1.9463175553682228,-0.9118748432555002,0.42407108808628635,0.03588376329954175,0.02251348438426336,0.027977549445939696,0.9997465736250104,0.9994932114749483
112,0.012842761224738541,-1.9567213810554371,-1.9466129165618027,-9.979754599128032,0.128709894506418,0.019717078094275774,0.013883267388368203,0.014101015433294195,0.9999036291305192,0.9998072675483829
